"outcome","n_DE","n_FR","estimate","std.error","cohens_d","d_interpretation","p.value","r.squared","adj.r.squared"
"ls_cu_15_BE",16,16,-5.138,1.811,-0.937,"large",0.008,0.351,0.281
"ls_cu_35_BE",16,16,-5.078,2.027,-0.938,"large",0.018,0.233,0.151
"ls_diff_35_15_BE",16,16,0.06,1.543,-0.035,"negligible",0.969,0.118,0.024
"ls_cu_mean_bin_summation",16,16,1.143,1.807,0.126,"negligible",0.532,0.133,0.04
"tin_snr_ERB_500",16,13,0.771,0.668,0.436,"small",0.259,0.088,-0.022
"tin_snr_ERB_2000",16,13,0.17,1,0.04,"negligible",0.867,0.035,-0.081
"matrix_mono_ssn_srt",16,16,1.493,0.456,1.057,"large",0.003,0.481,0.425
"matrix_mono_icra5_srt",16,16,3.178,0.799,1.053,"large",0,0.705,0.673
"matrix_mono_ssn_srt_norm",16,16,0.393,0.456,0.325,"small",0.396,0.345,0.275
"matrix_mono_icra5_srt_norm",16,16,-0.022,0.799,0.136,"negligible",0.979,0.619,0.579
"reflex_mean_BE",12,15,0.749,2.088,0.19,"negligible",0.723,0.058,-0.065
"dpoae_snr_1khz_BE",10,10,1.958,2.773,0.343,"small",0.49,0.043,-0.136
"dpoae_snr_2khz_BE",14,10,-1.159,2.409,-0.2,"small",0.636,0.115,-0.018
"dpoae_snr_4khz_BE",14,13,-3.728,2.747,-0.574,"medium",0.188,0.114,-0.002
"teoae_snr_1k_BE",12,7,-2.844,1.258,-1.356,"large",0.039,0.623,0.548
"teoae_snr_2k_BE",15,11,-0.881,2.082,-0.172,"negligible",0.676,0.022,-0.112
"teoae_snr_3k_BE",14,10,0.374,2.589,0.084,"negligible",0.887,0.036,-0.109
"teoae_snr_4k_BE",8,6,-1.024,1.832,-0.297,"small",0.589,0.056,-0.227
"ecochg_ap_ms_BE",16,10,0.04,0.048,0.175,"negligible",0.423,0.267,0.167
"ecochg_AP_V_ms_BE",16,10,-0.153,0.077,-0.877,"large",0.061,0.218,0.111
"ecochg_III_V_ms_BE",16,14,-0.093,0.069,-0.477,"small",0.192,0.091,-0.014
"ct_velcty_nystgms_cold_abs_BE",14,15,7.785,2.966,0.861,"large",0.015,0.313,0.231
"ct_velcty_nystgms_warm_abs_BE",14,14,6.638,5.785,0.37,"small",0.263,0.125,0.016
"ct_uw_calc_pta",14,14,10.167,6.448,0.72,"medium",0.128,0.218,0.12
"ct_dp_calc_pta",14,14,3.424,5.824,0.118,"negligible",0.562,0.207,0.108
"vhit_gain_anter_BE",15,16,0.033,0.045,0.228,"small",0.476,0.044,-0.062
"vhit_gain_later_BE",15,16,-0.123,0.041,-1.088,"large",0.006,0.349,0.277
"vhit_gain_poster_BE",15,16,0.037,0.04,0.202,"small",0.37,0.209,0.121
"vhit_asym_anter_calc_pta",15,16,-3.702,3.003,-0.409,"small",0.228,0.081,-0.021
"vhit_asym_later_calc_pta",15,16,-1.228,1.592,-0.301,"small",0.447,0.044,-0.062
"vhit_asym_poster_calc_pta",14,16,0.77,2.182,0.108,"negligible",0.727,0.082,-0.024
"cvemp_norm_ampl_p_n_BE",14,15,0.354,0.162,0.818,"large",0.038,0.174,0.075
"cvemp_asym_calc_pta",13,15,4.861,7.696,0.252,"small",0.534,0.029,-0.093
"ovemp_norm_ampl_p_n_BE",14,11,0.56,0.14,1.699,"large",0.001,0.437,0.356
"ovemp_asym_calc_pta",14,9,1.566,10.46,0.186,"negligible",0.883,0.142,0.007
