"outcome","F_value","p_value","significant","interpretation","p_value_formatted"
"ls_cu_15_BE",0.997,0.3261,FALSE,"Equal variances","0.3261"
"ls_cu_35_BE",7.131,0.0121,TRUE,"Unequal variances","0.0121*"
"ls_diff_35_15_BE",0.005,0.9434,FALSE,"Equal variances","0.9434"
"ls_cu_mean_bin_summation",4.648,0.0392,TRUE,"Unequal variances","0.0392*"
"tin_snr_ERB_500",0.058,0.8113,FALSE,"Equal variances","0.8113"
"tin_snr_ERB_2000",0.383,0.5413,FALSE,"Equal variances","0.5413"
"matrix_mono_ssn_srt",10.526,0.0029,TRUE,"Unequal variances","0.0029**"
"matrix_mono_icra5_srt",0.034,0.8546,FALSE,"Equal variances","0.8546"
"matrix_mono_ssn_srt_norm",10.526,0.0029,TRUE,"Unequal variances","0.0029**"
"matrix_mono_icra5_srt_norm",0.034,0.8546,FALSE,"Equal variances","0.8546"
"reflex_mean_BE",0.012,0.9144,FALSE,"Equal variances","0.9144"
"dpoae_snr_1khz_BE",0.25,0.6233,FALSE,"Equal variances","0.6233"
"dpoae_snr_2khz_BE",0.662,0.4244,FALSE,"Equal variances","0.4244"
"dpoae_snr_4khz_BE",2.022,0.1674,FALSE,"Equal variances","0.1674"
"teoae_snr_1k_BE",26.864,1e-4,TRUE,"Unequal variances","0.0001***"
"teoae_snr_2k_BE",0.674,0.4196,FALSE,"Equal variances","0.4196"
"teoae_snr_3k_BE",0.02,0.8889,FALSE,"Equal variances","0.8889"
"teoae_snr_4k_BE",0.965,0.3453,FALSE,"Equal variances","0.3453"
"ecochg_ap_ms_BE",0.118,0.7341,FALSE,"Equal variances","0.7341"
"ecochg_AP_V_ms_BE",0.61,0.4424,FALSE,"Equal variances","0.4424"
"ecochg_III_V_ms_BE",1.757,0.1957,FALSE,"Equal variances","0.1957"
"ct_velcty_nystgms_cold_abs_BE",3.334,0.0789,FALSE,"Equal variances","0.0789"
"ct_velcty_nystgms_warm_abs_BE",0.323,0.5747,FALSE,"Equal variances","0.5747"
"ct_uw_calc_pta",3.587,0.0694,FALSE,"Equal variances","0.0694"
"ct_dp_calc_pta",1.158,0.2917,FALSE,"Equal variances","0.2917"
"vhit_gain_anter_BE",5.238,0.0296,TRUE,"Unequal variances","0.0296*"
"vhit_gain_later_BE",0.703,0.4086,FALSE,"Equal variances","0.4086"
"vhit_gain_poster_BE",0.583,0.4513,FALSE,"Equal variances","0.4513"
"vhit_asym_anter_calc_pta",10.476,0.003,TRUE,"Unequal variances","0.0030**"
"vhit_asym_later_calc_pta",3.428,0.0743,FALSE,"Equal variances","0.0743"
"vhit_asym_poster_calc_pta",1.538,0.2252,FALSE,"Equal variances","0.2252"
"cvemp_norm_ampl_p_n_BE",3.566,0.0698,FALSE,"Equal variances","0.0698"
"cvemp_asym_calc_pta",4.548,0.0426,TRUE,"Unequal variances","0.0426*"
"ovemp_norm_ampl_p_n_BE",0.773,0.3883,FALSE,"Equal variances","0.3883"
"ovemp_asym_calc_pta",2.381,0.1378,FALSE,"Equal variances","0.1378"
